time,summary,icon,precipIntensity,precipProbability,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility
1505188800,Clear,clear-night,0.0,0.0,51.47,51.47,47.5,0.86,1020.9,0.1,0.26,,0.0,0.0,9.481
1505192400,Partly Cloudy,partly-cloudy-night,0.0,0.0,51.0,51.0,46.79,0.85,1020.5,0.36,0.72,72.0,0.44,0.0,7.772
1505196000,Clear,clear-night,0.0,0.0,50.3,50.3,47.19,0.89,1020.3,0.08,0.12,90.0,0.06,0.0,2.68
1505199600,Foggy,fog,0.0,0.0,48.27,48.27,46.08,0.92,1019.2,0.09,0.15,,0.65,0.0,1.733
1505203200,Foggy,fog,0.0,0.0,47.18,47.18,45.58,0.94,1019.4,0.1,0.27,2.0,0.81,0.0,1.119
1505206800,Foggy,fog,0.0,0.0,47.45,47.45,45.57,0.93,1019.2,0.12,0.19,42.0,0.75,0.0,0.648
1505210400,Foggy,fog,0.0,0.0,47.19,47.19,45.59,0.94,1019.2,0.31,0.31,100.0,0.75,0.0,0.569
1505214000,Foggy,fog,0.0,0.0,46.88,46.88,45.62,0.95,1018.8,0.11,0.18,46.0,1.0,0.0,0.299
1505217600,Foggy,fog,0.0,0.0,48.42,48.42,46.88,0.94,1019.1,0.12,0.26,0.0,1.0,0.0,1.191
1505221200,Mostly Cloudy,partly-cloudy-day,0.0,0.0,55.53,55.53,49.54,0.8,1018.5,0.15,0.33,355.0,0.75,1.0,2.469
1505224800,Clear,clear-day,0.0,0.0,60.0,60.0,54.64,0.82,1018.2,0.26,1.33,294.0,0.1,3.0,9.605
1505228400,Clear,clear-day,0.0,0.0,65.75,65.75,56.08,0.71,1017.4,0.78,2.67,257.0,0.18,5.0,9.613
1505232000,Clear,clear-day,0.0,0.0,71.74,71.74,57.29,0.6,1016.4,2.74,5.56,254.0,0.0,6.0,9.629
1505235600,Clear,clear-day,0.0,0.0,75.22,75.22,56.68,0.53,1015.7,2.97,5.32,319.0,0.0,7.0,9.613
1505239200,Clear,clear-day,0.0,0.0,76.42,76.42,54.31,0.46,1014.9,3.85,3.85,291.0,0.0,6.0,9.613
1505242800,Clear,clear-day,0.0,0.0,77.97,77.97,53.93,0.43,1014.0,3.58,4.01,306.0,0.0,4.0,9.603
1505246400,Clear,clear-day,0.0,0.0,77.65,77.65,51.33,0.4,1013.8,4.14,8.95,283.0,0.0,3.0,9.587
1505250000,Clear,clear-day,0.0,0.0,76.11,76.11,52.25,0.43,1013.2,3.76,3.81,290.0,0.0,1.0,9.613
1505253600,Clear,clear-day,0.0,0.0,72.12,72.12,56.59,0.58,1013.0,0.33,0.91,263.0,0.0,0.0,4.409
1505257200,Clear,clear-day,0.0,0.0,65.8,65.8,57.36,0.74,1013.2,0.5,0.77,206.0,0.0,0.0,9.613
1505260800,Clear,clear-night,0.0,0.0,62.76,62.76,55.54,0.77,1013.6,0.2,0.53,234.0,0.0,0.0,9.587
1505264400,Clear,clear-night,0.0,0.0,59.44,59.44,54.53,0.84,1013.5,0.88,3.14,236.0,0.0,0.0,9.613
1505268000,Clear,clear-night,0.0,0.0,57.14,57.14,52.92,0.86,1013.0,0.07,1.17,336.0,0.0,0.0,6.76
1505271600,Clear,clear-night,0.0,0.0,56.12,56.12,51.66,0.85,1012.9,0.33,0.52,30.0,0.0,0.0,9.587
1505275200,Clear,clear-night,0.0,0.0,56.18,56.18,52.24,0.87,1012.8,0.3,1.23,284.0,0.0,0.0,9.246
1505278800,Clear,clear-night,0.0,0.0,54.23,54.23,51.31,0.9,1013.0,0.21,0.97,58.0,0.11,0.0,4.23
1505282400,Clear,clear-night,0.0,0.0,53.14,53.14,50.58,0.91,1012.8,0.71,1.44,257.0,0.19,0.0,9.581
1505286000,Clear,clear-night,0.0,0.0,51.84,51.84,48.53,0.88,1013.0,0.15,0.43,210.0,0.16,0.0,3.83
1505289600,Foggy,fog,0.0,0.0,50.29,50.29,48.6,0.94,1013.0,0.1,0.87,90.0,0.33,0.0,1.14
1505293200,Foggy,fog,0.0,0.0,50.17,50.17,48.5,0.94,1013.2,0.06,0.13,90.0,1.0,0.0,0.752
1505296800,Foggy,fog,0.0,0.0,49.41,49.41,47.62,0.94,1013.5,0.07,0.22,,1.0,0.0,1.269
1505300400,Foggy,fog,0.0,0.0,49.5,49.5,46.88,0.91,1014.1,0.1,0.21,90.0,0.81,0.0,0.238
1505304000,Foggy,fog,0.0,0.0,50.82,50.82,49.27,0.94,1014.0,0.06,0.08,90.0,0.92,0.0,1.043
1505307600,Overcast,cloudy,0.0,0.0,56.85,56.85,52.01,0.84,1013.9,0.12,0.17,54.0,1.0,1.0,9.152
1505311200,Partly Cloudy,partly-cloudy-day,0.0,0.0,61.9,61.9,55.98,0.81,1013.7,0.06,0.36,224.0,0.44,3.0,9.613
1505314800,Clear,clear-day,0.0,0.0,68.08,68.08,56.93,0.68,1013.3,0.54,1.57,181.0,0.0,5.0,6.76
1505318400,Clear,clear-day,0.0,0.0,73.7,73.7,56.54,0.55,1012.6,0.33,1.89,248.0,0.0,6.0,9.613
1505322000,Clear,clear-day,0.0,0.0,75.66,75.66,56.01,0.51,1012.1,0.74,2.85,234.0,0.0,6.0,9.613
1505325600,Clear,clear-day,0.0,0.0,78.03,78.03,56.87,0.48,1011.2,1.75,5.02,234.0,0.0,6.0,9.613
1505329200,Clear,clear-day,0.0,0.0,78.09,78.09,57.22,0.49,1010.7,1.29,6.15,217.0,0.0,4.0,9.587
1505332800,Clear,clear-day,0.0,0.0,78.25,78.25,56.25,0.47,1010.3,2.82,5.1,213.0,0.0,3.0,9.587
1505336400,Clear,clear-day,0.0,0.0,76.99,76.99,57.3,0.51,1010.2,2.2,4.46,207.0,0.19,1.0,9.613
1505340000,Clear,clear-day,0.0,0.0,74.77,74.89,61.21,0.63,1010.1,0.29,1.44,202.0,0.05,0.0,9.613
1505343600,Clear,clear-day,0.0,0.0,69.71,69.77,60.35,0.72,1010.2,0.41,0.44,190.0,0.05,0.0,9.613
1505347200,Clear,clear-night,0.0,0.0,66.32,66.35,59.48,0.79,1010.9,0.16,0.24,127.0,0.1,0.0,9.613
1505350800,Clear,clear-night,0.0,0.0,63.67,63.68,58.72,0.84,1010.5,0.2,0.45,151.0,0.2,0.0,6.76
1505354400,Overcast,cloudy,0.0,0.0,63.91,64.0,59.39,0.85,1010.5,0.65,1.09,179.0,0.92,0.0,9.613
1505358000,Overcast,cloudy,0.0,0.0,64.56,64.62,59.34,0.83,1010.6,1.62,1.62,171.0,1.0,0.0,9.613
1505361600,Overcast,cloudy,0.0,0.0,64.02,64.2,59.97,0.87,1010.3,0.38,0.76,189.0,1.0,0.0,6.76
1505365200,Overcast,cloudy,0.0,0.0,65.09,65.37,60.97,0.86,1010.2,0.83,1.75,175.0,1.0,0.0,6.616
1505368800,Overcast,cloudy,0.0,0.0,66.21,66.56,61.77,0.86,1010.0,1.0,1.97,191.0,1.0,0.0,9.613
1505372400,Overcast,cloudy,0.0,0.0,65.38,65.87,62.52,0.9,1009.9,1.21,1.21,178.0,1.0,0.0,9.613
1505376000,Overcast,cloudy,0.0,0.0,65.98,66.48,62.78,0.89,1009.8,1.23,1.23,240.0,1.0,0.0,9.613
1505379600,Overcast,cloudy,0.0,0.0,66.3,66.66,61.92,0.86,1009.9,0.3,1.34,187.0,1.0,0.0,9.613
1505383200,Mostly Cloudy,partly-cloudy-night,0.0,0.0,65.77,66.29,62.84,0.9,1010.3,0.57,1.46,234.0,0.75,0.0,9.613
1505386800,Overcast,cloudy,0.0,0.0,65.73,66.31,63.22,0.92,1010.8,0.15,0.57,184.0,1.0,0.0,9.613
1505390400,Overcast,cloudy,0.0,0.0,66.66,67.19,63.16,0.89,1011.2,0.74,0.74,240.0,1.0,0.0,9.613
1505394000,Overcast,cloudy,0.0,0.0,68.19,68.76,63.93,0.86,1011.3,0.82,1.58,194.0,1.0,1.0,9.613
1505397600,Overcast,cloudy,0.0,0.0,70.29,70.83,64.18,0.81,1011.8,2.01,2.06,195.0,0.97,2.0,6.76
1505401200,Overcast,cloudy,0.0,0.0,71.89,72.38,64.18,0.77,1011.7,1.37,4.0,187.0,1.0,3.0,9.997
1505404800,Mostly Cloudy,partly-cloudy-day,0.0,0.0,73.44,74.03,65.19,0.75,1011.4,2.15,7.03,201.0,0.75,4.0,9.587
1505408400,Mostly Cloudy,partly-cloudy-day,0.0,0.0,74.93,75.31,63.53,0.68,1011.1,3.36,3.36,239.0,0.75,4.0,9.587
