date,mse,std,corr,max_power,weather,cond
20170912,0.002355555,0.001771217,0.87554233,211.8571429,0,1
20170913,0.003837086,0.003795532,0.813104926,230.1428571,1,1
20170914,0.006583145,0.002666033,0.884693638,177.8571429,1,0
20170915,0.002298079,0.00096334,0.973408041,232.1428571,4,1
20170916,0.003952011,0.002499419,0.927461578,199.4285714,4,0
20170917,0.003092741,0.000980161,0.921845814,200.7142857,4,0
20170918,0.003725263,0.001873848,0.933699136,194.8571429,4,0
20170919,0.006937406,0.003694196,0.819685138,180.2857143,4,0
20170920,0.003084393,0.000875578,0.958520997,140.2857143,1,0
20170921,0.001933284,0.000619483,0.978145684,184.2857143,3,1
20170922,0.002504091,0.000591712,0.92,220.1428571,1,0
20170923,0.004933777,0.004364811,0.941118004,194.8571429,4,0
20170924,0.00517375,0.004406621,0.917940928,182.1428571,0,0
20170925,0.003285194,0.001971609,0.961337861,179.4285714,0,1
20170926,0.001674961,0.000848677,0.982211089,182.7142857,4,1
20170927,0.004389864,0.003340827,0.957526575,192.4285714,0,0
20170928,0.002905676,0.00180172,0.98257368,200.8571429,0,1
20170929,0.001835568,0.000753038,0.982943051,199.1428571,0,1
20170930,0.004726341,0.002499148,0.857438766,37.57142857,1,0
20171001,0.00287061,0.002565497,0.967746397,198.7142857,0,1
20171002,0.003925256,0.002368359,0.929997645,191.1428571,0,0
20171003,0.003820258,0.003063701,0.93224737,185.4285714,0,0
20171004,0.004251602,0.005565151,0.940695664,179.5714286,0,0
20171005,0.003624423,0.002740709,0.958803616,188.4285714,0,1
20171006,0.007073935,0.001313763,0.808158932,104.7142857,3,0
20171007,0.00206516,0.000541785,0.978828857,109.1428571,3,1
20171008,0.006536594,0.003196185,0.867314333,122.2857143,1,0
20171009,0.001717959,0.000425515,0.970507677,55,4,1
20171010,0.00569912,0.004093449,0.855544259,194.5714286,0,0
20171011,0.002072997,0.000988241,0.976713759,127.7142857,3,1
20171012,0.010034403,0.011409089,0.838201256,178.4285714,0,0
20171013,0.005411186,0.001253784,0.883655107,178.4285714,0,0
20171014,0.010567896,0.008927817,0.855238571,157.2857143,1,0
20171015,0.004844224,0.001354856,0.872577486,158.1428571,4,0
20171016,0.004228114,0.002716708,0.929646504,81.71428571,3,0
20171017,0.007875696,0.003594987,0.826274223,172.8571429,0,0
20171018,0.008100964,0.004700031,0.790625317,164.2857143,0,0
20171019,0.010583644,0.004449399,0.779722578,163.1428571,0,0
20171020,0.01424098,0.012933612,0.730224446,162.7142857,0,0
20171021,0.017089737,0.028443179,0.338711448,136.5714286,0,0
20171022,0.004056913,0.002272057,0.922827601,129.1428571,0,0
20171023,0.006305555,0.001194634,0.924091386,142.8571429,4,0
20171024,0.006875814,0.005202952,0.898866039,136,1,0
20171025,0.003545978,0.0017134,0.898103499,87.85714286,1,0
20171026,0.00528292,0.001606014,0.868318544,67,1,0
20171027,0.009736604,0.004980596,0.767945018,137.5714286,0,0
20171028,0.007248135,0.006143106,0.777862556,123.1428571,0,0
20171029,0.006931133,0.004873495,0.294117469,16.71428571,1,0
20171030,0.006680899,0.002868238,0.906771514,106.5714286,1,0
20171031,0.005263893,0.002817782,0.896479383,108.4285714,0,0
20171101,0.001252297,0.000814483,0.940159119,94.71428571,0,0
20171102,0.007082245,0.006518423,0.895253799,79.85714286,3,0
20171103,0.005968668,0.00133546,0.883302385,73.14285714,1,0
20171104,0.003235901,0.001304537,0.921520962,92.71428571,0,0
20171105,0.003433606,0.001614921,0.93,52.14285714,5,0
20171106,0.004686003,0.002507552,0.9197828,46.71428571,1,0
20171107,0.001833984,0.000192338,0.994804623,106.4285714,1,1
20171108,0.016180298,0.009924737,0.744950967,105.8571429,1,0
20171109,0.00219656,0.00145892,0.955760857,101.4285714,0,1
20171110,0.005212453,0.002167738,0.741854436,115.2857143,1,0
20171111,0.006153197,0.003356891,0.791228637,106.2857143,0,0
20171112,0.006522937,0.004026775,0.86134606,98.71428571,0,0
20171113,0.004878088,0.006626021,0.912044147,50.42857143,1,0
20171114,0.005281783,0.007592854,-0.3286383,24.57142857,5,0
20171115,0.014543341,0.009954381,0.591671279,92.57142857,0,0
20171116,0.0104585,0.001408779,0.812907876,75.85714286,1,0
20171117,0.011246452,0.003533963,0.837117078,104.8571429,0,0
20171118,0.002802148,0.002702245,0.954565144,63.57142857,1,1
20171119,0.003796521,0.001137093,0.933798425,71.57142857,1,0
20171120,0.004447503,0.002535539,0.941714471,82.71428571,0,0
20171121,0.019241744,0.025553416,0.566273446,78.71428571,0,0
20171122,0.00553666,0.005374275,0.890822343,44.71428571,1,0
20171123,0.006238741,0.007142564,0.8556561,104.8571429,0,0
20171124,0.014127413,0.007563828,0.826468718,76.85714286,0,0
20171125,0.009874557,0.010447557,0.640928074,63.14285714,0,0
20171126,0.006493254,0.002356764,0.907923179,94.14285714,0,0
20171127,0.006182034,0.002840588,0.905991281,83.42857143,3,0
20171128,0.00270965,0.001256884,0.783823438,74.42857143,0,0
20171129,0.00437332,0.003220466,0.951191162,68.71428571,0,0
20171130,0.006484732,0.002693268,0.909661296,81.71428571,0,0
20171201,0.004400579,0.000770012,0.92143934,61.42857143,1,0
20171202,0.004988959,0.008588796,0.593544736,55.28571429,5,0
20171203,0.011256526,0.018803773,0.799057246,48.42857143,5,0
20171204,0.016801649,0.017965604,0.617417265,63.57142857,0,0
20171205,0.01577357,0.011145582,-0.254986606,6.428571429,1,0
20171206,0.010489648,0.00746992,0.692228104,60.57142857,1,0
20171207,0.009341935,0.012330055,0.749034996,60.28571429,0,0
20171208,0.008938494,0.001841374,0.957555687,49.85714286,0,0
20171209,0.007584357,0.0114904,0.392238834,24.71428571,2,0
20171210,0.025684601,0.009334027,-0.046946773,2.857142857,1,0
20171211,0.058493948,0.027262054,-0.161324272,2.142857143,1,0
20171220,0.004187519,0.001266058,0.842237804,20.71428571,3,0
20171221,0.01153595,0.004011894,0.676719672,36.42857143,0,0
20171222,0.057859195,0.053401764,-0.873877003,2.571428571,2,0
20171223,0.002459171,0.001360947,0.510125159,12.28571429,4,0
20171224,0.008362575,0.016120927,0.644529061,60.28571429,1,0
20171230,0.130602798,0.144250644,,1,5,0
20180108,0.004736369,0.003772149,0.899447394,10.28571429,5,0
20180109,0.002348036,0.000994873,0.862528675,42.71428571,3,0
20180110,0.008160881,0.003942345,0.482256697,71.42857143,0,0
20180111,0.002007817,0.004407702,0.938571772,75.14285714,3,0
20180112,0.018856924,0.016744961,0.466204206,15.42857143,4,0
