power_1,power_2
13.43,13.95
14.19,13.68
13.17,13.82
13.56,13.95
14.2,13.95
14.07,13.82
13.3,13.94
12.54,14.08
12.92,14.08
12.41,13.81
12.54,14.07
14.06,13.82
12.92,13.95
12.67,13.81
12.28,13.69
13.18,13.82
13.81,13.82
12.79,14.07
14.06,13.82
12.54,13.82
13.93,13.42
12.67,13.95
13.81,13.95
12.54,14.08
13.17,13.94
12.92,13.82
13.81,13.69
12.93,13.82
13.05,13.68
13.55,13.56
13.55,13.43
13.05,13.29
12.67,13.81
13.17,13.69
13.69,13.3
13.44,13.29
13.81,13.69
12.79,13.42
13.44,13.43
13.05,13.81
13.55,13.42
13.43,13.82
12.54,13.82
13.05,13.68
12.03,13.98
13.17,14.11
11.9,14.64
13.05,16.21
13.17,17.27
13.68,19.38
12.67,21.5
12.54,23.33
13.3,27.04
13.17,31.56
11.9,37.43
12.92,46.3
12.41,60.29
12.54,72.11
13.17,73.75
11.9,73.54
12.41,75.07
12.16,75.99
12.54,76.99
12.28,76.64
13.43,76.43
13.3,76.75
13.3,76.35
12.28,76.54
12.54,76.68
12.54,76.41
13.05,76.73
12.54,76.65
13.44,77.12
12.79,76.98
13.55,76.85
12.03,76.77
13.05,76.85
12.54,76.63
11.78,76.55
12.03,76.55
13.05,76.42
12.41,76.34
12.92,76.34
13.43,76.61
11.65,76.8
13.43,76.45
12.92,76.39
13.17,76.59
12.92,76.59
12.28,76.51
13.43,76.51
13.55,76.43
13.43,76.51
11.9,76.43
12.54,76.16
12.67,76.43
12.16,75.88
12.03,76.29
12.41,75.8
12.54,75.26
12.67,75.12
11.78,75.67
12.16,79.19
13.05,75.99
12.16,76.6
13.3,76.46
12.67,76.73
12.28,76.6
12.16,76.52
11.9,76.65
11.78,76.65
12.54,76.57
12.54,76.52
12.28,76.57
13.05,76.52
12.78,76.84
12.67,77.04
11.4,76.71
12.15,76.76
12.92,76.49
11.27,76.35
12.79,76.49
11.78,76.35
11.65,75.86
13.05,76.22
12.92,76.41
12.28,76.55
12.92,76.41
11.78,76.14
12.67,76.27
11.29,73.98
12.06,73.29
13.84,73.29
15.12,73.29
16.14,75.81
18.93,73.56
20.09,73.43
23.93,73.43
26.24,73.43
31.36,73.43
38.24,73.15
49.35,72.88
54.13,72.88
57.16,73.34
57.26,72.74
58.49,72.88
58.15,73.02
58.34,73.07
59.19,72.61
60.47,78.47
60.21,72.88
61.09,73.02
61.37,72.33
61.84,72.25
62.08,72.47
62.13,72.33
62.26,71.65
61.96,71.24
61.31,67.6
61.7,68.5
60.53,68.64
60.92,69.1
63,69.42
61.7,69.51
62.61,69.01
61.18,68.88
61.75,69.29
61.36,68.83
61.23,69.01
61.49,69.29
60.97,69.29
61.75,68.88
61.27,69.29
61.92,69.47
61.79,69.29
63.35,69.34
63.35,69.88
63.66,69.47
62.31,69.75
62.31,70.07
61.66,70.34
63.01,69.99
62.49,69.88
63.48,69.8
61.97,69.52
62.31,69.75
63.14,69.47
61.92,69.75
62.62,69.11
62.1,68.98
62.49,69.2
62.75,69.52
61.71,69.06
62.23,68.57
61.97,69.06
61.45,68.98
62.23,68.98
65.54,69.06
61.84,68.57
59.5,71.49
57.5,68.52
61.97,68.02
60.54,67.61
61.45,67.34
60.54,67.02
58.98,70.02
53.82,65.92
59.24,65.92
59.37,66.74
59.24,66.33
58.06,65.47
56.59,65.06
57.15,65.19
56.46,65.06
58.15,65.06
58.85,65.74
59.76,65.88
59.37,66.61
59.06,66.06
58.45,65.65
57.37,66.11
59.19,65.6
56.89,65.19
57.54,64.38
56.98,64.38
56.07,63.1
56.72,62.97
55.03,62.65
54.08,62.1
54.99,61.42
53.3,61.15
53.99,61.51
54.21,61.15
53.82,61.78
54.99,61.51
53.95,60.88
54.08,64.33
55.12,62.1
55.55,61.69
54.77,60.83
54.34,60.97
53.95,59.2
51.57,56.8
46.46,55.99
49.1,55.27
51.31,56.76
51.83,59.29
53.69,61.42
55.03,61.38
59.32,61.97
55.77,61.83
55.38,61.92
55.12,61.51
55.77,61.38
55.42,61.69
58.54,61.29
56.59,62.37
