contact_1,contact_2,open_1,open_2
42.4,77.2,10.31,9.89
42.4,76.41,10.05,9.78
42.27,76.54,9.54,9.89
42.43,76.88,9.16,9.78
42.17,76.81,9.54,9.9
41.9,77.01,10.19,9.78
42.17,76.54,10.95,9.9
42.27,77.2,11.98,9.77
42.3,77.2,13.13,9.77
41.9,77.33,14.41,9.77
42.56,77.59,16.09,9.64
42.07,77.46,18.14,9.78
41.37,77.86,20.99,9.65
41.4,75.49,25.12,9.78
41.64,75.83,30.86,9.77
41.24,76.81,40.24,9.78
40.84,77.59,45.86,9.64
42.07,77.33,47.23,9.78
41.54,77.86,47.78,9.64
42.5,77.59,48.04,9.64
43.03,77.59,48.17,9.4
42.89,77.2,48.21,9.53
43.32,76.62,51.4,9.52
42.79,76.94,49.28,9.52
42.93,77.53,49.54,9.52
42.63,77.2,50.1,9.64
42.63,77.59,50.01,9.65
41.97,78.12,49.88,9.64
41.83,77.59,47.41,9.65
41.83,74.65,50.96,9.64
41.73,78.12,51.38,9.78
41.87,78.12,51.42,9.9
41.73,77.86,51.51,9.78
41.6,77.59,51.64,9.78
41.44,78.12,52.08,9.89
41.73,78.12,49.3,10.02
41.34,77.59,51.59,10.02
41.6,77.65,52.38,9.9
41.07,77.59,52.25,9.9
41.07,77.07,51.85,10.02
41.2,77.46,49.34,9.9
41.34,77.2,52.02,10.01
41.5,77.46,50.81,10.15
41.76,76.62,52.42,10.15
42.16,78.12,52.59,10.15
42.16,77.33,52.46,10.15
42.56,77.46,53.15,10.27
42.16,80.94,55.93,10.15
41.76,77.07,53.15,10.39
42.19,76.41,53.45,10.27
42.86,76.67,53.84,10.27
42.99,77.99,53.88,10.39
42.59,77.2,53.45,10.26
43.69,77.59,53.1,10.15
43.02,77.07,52.54,10.15
43.12,76.94,0,10.14
42.99,76.94,0,9.9
42.62,76.54,0,9.9
0,77.33,0,10.02
0.52,76.41,0,10.02
0.26,77.46,0,10.15
0.39,77.2,0,10.27
0.52,77.72,0,10.52
0.52,76.81,0,10.39
0.39,76.28,0,10.39
0.39,76.75,0,10.28
0.26,76.48,0,10.27
0.52,76.54,0,10.27
0.39,76.54,0,10.27
0.39,76.81,0,10.28
0.39,76.81,0,10.39
0.39,76.67,0,10.39
0.39,76.81,0,10.39
0.39,76.94,0,10.53
0.52,77.2,0,10.52
0.39,77.2,0,10.65
0.39,76.75,0,10.77
0.52,73.6,0,10.89
0.52,77.07,0,10.89
0.39,77.2,0,10.77
0.39,77.46,0,10.9
0.26,76.41,0,10.89
0.26,77.07,0,10.89
0.39,73.2,0,11.02
0.52,76.62,0,11.02
0.39,77.2,0,11.15
0.52,76.15,0,11.27
0.39,76.62,0,11.15
0.65,75.76,0,11.15
0.64,73.34,0,10.9
0.38,76.81,0,10.64
0.39,76.28,0,10.39
0.51,76.02,0,10.39
0.38,76.54,0,10.28
0.38,74.91,0,9.91
0.38,77.99,0,9.65
0.51,74.7,0,9.65
0.38,74.12,0,9.4
0.38,74.44,0,9.65
0.38,74.52,0,10.15
0.38,75.83,0,10.64
0.25,76.28,0,10.9
0.38,76.35,0,10.9
0.25,75.57,0,10.89
0.38,76.15,0,10.9
0.51,75.83,0,11.14
0.38,75.83,0,11.39
0.25,75.17,0,11.52
0.38,75.04,0,11.52
0.38,74.84,0,10.65
0.38,74.91,0,9.41
0.38,75.3,0,8.29
0.51,75.3,0,6.92
0.51,75.44,0,6.06
0.38,74.52,0,5.19
33.95,74.91,1.4,4.44
34.37,75.17,3.44,4.2
34.24,74.65,6.51,4.07
34.66,75.17,8.69,4.07
34.92,74.78,14.21,4.2
34.53,74.65,12.55,4.07
34.68,74.25,11.13,4.2
34.68,74.52,10.36,4.44
35.47,75.17,10.23,5.06
35.11,73.99,10.61,5.68
35.11,73.86,11.52,6.67
34.71,74.25,12.28,7.66
34.84,74.12,14.09,9.03
34.74,74.91,15.25,9.28
34.71,73.86,14.73,8.78
34.74,74.07,12.68,7.66
35,74.65,10.35,6.67
35,73.99,8.43,6.18
35.03,74.25,7.28,5.56
35.42,74.12,6.12,4.94
35.55,73.86,5.1,4.57
35.42,73.54,4.46,4.44
35.82,73.6,4.08,4.32
35.42,73.47,3.82,4.19
35.55,73.6,3.7,4.32
35.58,70.79,3.57,4.32
35.58,74.39,3.44,4.32
35.42,74.39,3.31,4.44
35.58,73.6,3.31,4.32
35.32,73.54,3.18,4.32
35.16,73.94,3.69,4.32
35.32,73.34,3.82,4.32
35.45,73.2,4.08,4.19
35.45,73.41,4.46,4.44
35.19,72.62,4.84,4.44
35.05,72.89,5.35,4.57
34.95,72.23,6.38,4.56
34.79,72.49,6.25,4.56
34.82,72.49,6.25,4.56
34.55,72.18,6.25,4.56
35.21,72.23,6.12,4.69
35.21,71.58,6.25,4.81
35.11,70.87,6.64,4.94
35.21,71.71,6.63,4.94
35.24,70.08,6.63,4.94
35.08,71.39,6.5,4.94
35.24,71.97,6.76,5.56
35.11,72.18,7.78,6.29
34.71,72.31,9.2,6.92
35.24,71.78,9.84,7.16
35.24,71.91,10.09,6.67
35.4,72.36,9.2,6.05
35.24,71,7.78,5.55
35.37,72.18,6.77,4.94
35.11,71.31,5.74,4.69
35.66,71.26,5.61,4.69
35.77,71.71,5.74,4.69
35.66,71.91,5.61,4.69
35.53,71.52,5.35,4.44
35.5,71.71,5.1,4.44
0.65,71.58,0,4.44
0.39,71.78,0,4.44
0.39,74.85,0,4.44
0.26,71.65,0,4.44
0.52,71.26,0,4.69
0.39,71.39,0,4.81
0.26,71.65,0,4.94
0.39,70.87,0,5.06
0.52,71,0,4.94
0.26,71.31,0,4.69
0.39,74.72,0,4.44
0.52,72.1,0,4.44
0.52,71.52,0,4.32
0.39,71.65,0,4.44
0.39,71.52,0,4.44
0.39,71.78,0,4.32
0.39,71.71,0,4.31
0.52,71.65,0,4.44
0.38,71.39,0,4.44
0.39,72.36,0,4.56
0.51,71.78,0,4.56
0.51,72.44,0,4.44
0.25,71.84,0,4.44
0.38,72.18,0,4.44
0.25,71.91,0,4.44
0.38,71.44,0,4.31
0.38,71.65,0,4.32
0.38,71.26,0,4.44
0.25,71,0,4.44
0.38,71.78,0,4.44
0.38,72.18,0,4.44
0.38,71.91,0,4.31
0.25,72.05,0,4.44
0.38,71.13,0,4.32
0.38,71.52,0,4.44
0.25,71.78,0,4.44
0.51,71.58,0,4.44
0.51,72.05,0,4.56
0.38,72.23,0,4.69
0.38,71.91,0,4.81
0.51,72.31,0,4.94
0.38,71.44,0,5.05
0.38,72.31,0,5.06
0.38,72.18,0,5.43
