water_1,water_2,dust_1,dust_2
129.07,108.79,11.87,9.62
128.69,108.79,11.75,9.62
128.49,107.73,11.87,9.49
128.23,107.86,11.75,9.62
128.14,107.73,11.87,9.49
125.88,107.73,11.87,9.62
125.8,108.71,11.87,9.62
125.94,107.59,11.87,9.62
125.02,108.31,12,9.75
125.22,107.64,11.87,9.62
125.83,104.59,11.87,7.53
125.02,108.79,12,9.49
125.25,107.73,12,9.62
123.05,108.26,12,9.62
123.57,108.26,11.87,9.62
123.42,106,12,9.49
122.76,108.52,12,9.49
123.42,107.73,11.87,9.49
123.71,109.06,11.87,9.36
123.13,108.26,11.87,9.49
122.85,109.06,12,9.36
122.41,107.46,12,9.49
122.64,108.66,12,9.49
123.08,107.67,11.87,9.49
120.24,108.92,12,9.49
120.51,109.06,12,5.45
121.17,108.26,12.12,2.2
121.03,108.26,12,2.33
120.65,107.86,12.13,9.49
120.88,108.92,12,9.49
121.03,108.12,12.12,9.49
120.96,108.12,12.13,9.49
120.96,108.6,12,9.36
120.82,109.45,12.13,9.36
120.96,109.45,12,9.36
120.9,108.21,12.13,9.36
120.82,109.32,12.25,9.36
120.67,108.34,12.12,9.49
120.76,108.12,12.13,9.49
120.9,109,12.25,9.49
120.24,111,12.25,9.49
120.53,108.07,12.13,9.36
121.13,108.47,12.25,9.49
121.13,109.67,12.25,9.36
118.71,109.4,12.13,9.49
118.86,108.87,12.25,9.49
119.15,108.12,12.25,9.36
118.77,109.4,12.25,9.49
118.77,109.4,12.25,9.49
119.06,109.19,12.25,9.49
118.77,109.27,12.25,9.36
118.77,109.4,12.25,9.35
118.98,108.87,12.39,9.48
119,108.6,12.38,9.62
119.06,109.27,12.39,9.49
118.86,109.54,12.51,9.62
119.15,108.21,12.51,9.62
119.15,108.34,12.51,9.62
118.77,109.4,12.51,9.62
119,109.4,12.51,9.62
119,109.54,12.52,9.62
119.15,108.47,12.51,9.62
119.06,109.4,12.51,9.62
118.86,108.34,12.64,9.62
119.29,109.27,12.64,9.62
118.49,109,12.64,9.62
118.63,107.94,12.51,9.61
118.86,108.07,12.51,9.49
119.29,109.27,12.64,9.49
119.29,108.34,12.52,9.49
119.37,108.6,12.64,9.62
119,109.54,12.64,9.62
118.86,109.54,12.77,9.75
119.08,108.55,12.64,9.62
118.94,108.47,12.77,9.62
118.79,109.27,12.77,9.75
118.86,108.21,12.89,9.75
118.86,109.27,12.89,9.74
118.94,109,12.78,9.74
118.86,109.4,12.77,9.75
118.86,109.4,12.89,9.74
119.15,109.27,12.89,9.88
119.23,109,13.02,10
118.71,108.07,12.89,10.14
118.71,109.27,13.02,10
118.63,109.14,12.89,10.01
118.57,109,13.02,10.01
118.86,108.07,13.02,9.88
119,109.35,13.03,10.01
118.71,108.87,13.14,10.01
119.15,108.47,13.14,10.14
118.86,108.29,13.14,10.01
118.71,108.07,13.14,10.27
118.71,109.27,13.14,10.27
119,109.35,13.14,10.27
118.92,109.49,13.14,10.14
119.15,109.49,13.15,10.14
118.92,109.4,13.03,10.01
119,108.42,13.02,10.14
119.37,106.48,13.02,10.14
119.29,109.49,13.02,10.13
119.15,108.42,13.03,10
119.15,108.69,13.14,10.14
119.15,107.54,12.89,10.14
119,108.21,13.03,10.14
119.15,112.15,13.02,10.14
119.15,109.35,13.02,10.14
118.92,108.21,12.89,10.01
119,108.6,12.9,10.01
119.06,109.14,13.02,10.13
118.77,109.35,12.89,10.13
119.06,109,13.03,10.14
119.21,108.02,13.03,10.27
119.29,109.14,13.14,10.4
119.21,108.02,13.15,10.4
119.06,109.22,13.28,10.4
119.06,108.15,13.28,10.53
119.06,109.49,13.39,10.53
