0,No Dust Cover,Dust Cover
1,11.87,9.62
2,11.75,9.62
3,11.87,9.49
4,11.75,9.62
5,11.87,9.49
6,11.87,9.62
7,11.87,9.62
8,11.87,9.62
9,12,9.75
10,11.87,9.62
11,11.87,7.53
12,12,9.49
13,12,9.62
14,12,9.62
15,11.87,9.62
16,12,9.49
17,12,9.49
18,11.87,9.49
19,11.87,9.36
20,11.87,9.49
21,12,9.36
22,12,9.49
23,12,9.49
24,11.87,9.49
25,12,9.49
26,12,9.49
27,12.12,9.49
28,12,9.36
29,12.13,9.49
30,12,9.49
31,12.12,9.49
32,12.13,9.49
33,12,9.36
34,12.13,9.36
35,12,9.36
36,12.13,9.36
37,12.25,9.36
38,12.12,9.49
39,12.13,9.49
40,12.25,9.49
41,12.25,9.49
42,12.13,9.36
43,12.25,9.49
44,12.25,9.36
45,12.13,9.49
46,12.25,9.49
47,12.25,9.36
48,12.25,9.49
49,12.25,9.49
50,12.25,9.49
51,12.25,9.36
52,12.25,9.35
53,12.39,9.48
54,12.38,9.62
55,12.39,9.49
56,12.51,9.62
57,12.51,9.62
58,12.51,9.62
59,12.51,9.62
60,12.51,9.62
61,12.52,9.62
62,12.51,9.62
63,12.51,9.62
64,12.64,9.62
65,12.64,9.62
66,12.64,9.62
67,12.51,9.61
68,12.51,9.49
69,12.64,9.49
70,12.52,9.49
71,12.64,9.62
72,12.64,9.62
73,12.77,9.75
74,12.64,9.62
75,12.77,9.62
76,12.77,9.75
77,12.89,9.75
78,12.89,9.74
79,12.78,9.74
80,12.77,9.75
81,12.89,9.74
82,12.89,9.88
83,13.02,10
84,12.89,10.14
85,13.02,10
86,12.89,10.01
87,13.02,10.01
88,13.02,9.88
89,13.03,10.01
90,13.14,10.01
91,13.14,10.14
92,13.14,10.01
93,13.14,10.27
94,13.14,10.27
95,13.14,10.27
96,13.14,10.14
97,13.15,10.14
98,13.03,10.01
99,13.02,10.14
100,13.02,10.14
101,13.02,10.13
102,13.03,10
103,13.14,10.14
104,12.89,10.14
105,13.03,10.14
106,13.02,10.14
107,13.02,10.14
108,12.89,10.01
109,12.9,10.01
110,13.02,10.13
111,12.89,10.13
112,13.03,10.14
113,13.03,10.27
114,13.14,10.4
115,13.15,10.4
116,13.28,10.4
117,13.28,10.53
118,13.39,10.53
119,13.4,10.53
120,13.4,10.66
121,13.28,10.66
122,13.4,10.66
123,13.4,10.66
124,13.53,10.79
125,13.52,10.79
126,13.4,10.79
127,13.4,10.79
128,13.4,10.79
129,13.53,10.79
130,13.53,10.79
131,13.53,10.79
132,13.4,10.79
133,13.4,10.79
134,13.4,10.66
135,13.4,10.92
136,13.28,10.79
137,13.52,10.79
138,13.4,10.79
139,13.53,10.79
140,13.53,10.79
141,13.4,10.79
142,13.53,10.92
143,13.53,10.92
144,13.53,10.92
145,13.53,10.92
146,13.53,11.05
147,13.53,11.05
148,13.78,10.92
149,13.65,11.05
150,13.54,11.05
151,13.65,11.05
152,13.66,11.05
153,13.66,10.92
154,13.54,10.92
155,13.66,11.05
156,13.66,10.92
157,13.78,10.92
158,13.54,10.92
159,13.53,10.92
160,13.65,11.05
161,13.54,10.92
162,13.53,10.92
163,13.54,10.92
164,13.65,10.92
165,13.65,10.92
166,13.66,11.05
167,13.65,11.04
168,13.65,11.05
169,13.66,11.05
170,13.66,10.92
171,13.53,11.05
172,13.53,11.05
173,13.54,10.92
174,13.53,10.92
175,13.54,10.92
176,13.54,10.92
177,13.54,10.92
178,13.54,10.92
179,13.54,10.92
180,13.55,10.92
181,13.41,10.92
182,13.41,10.79
183,13.53,10.79
184,13.41,10.92
185,13.53,10.92
186,13.54,10.79
187,13.54,10.92
188,13.54,10.92
189,13.54,10.92
190,13.54,10.79
191,13.54,10.92
192,13.54,10.79
193,13.54,10.79
194,13.53,10.79
195,13.54,10.79
196,13.41,10.79
197,13.54,10.79
198,13.54,10.79
199,13.54,10.92
200,13.66,10.92
201,13.67,11.05
202,13.66,10.92
203,13.66,10.92
204,13.66,10.92
205,13.66,10.92
206,13.66,10.92
207,13.66,10.92
208,13.66,11.05
209,13.66,11.05
210,13.66,10.92
211,13.66,11.05
212,13.66,11.05
213,13.66,11.05
214,13.66,11.05
215,13.79,10.92
216,13.8,10.92
217,13.66,10.92
218,13.66,10.92
219,13.79,10.92
220,13.79,10.92
221,13.66,10.92
222,13.65,10.92
223,13.66,10.92
224,13.54,10.79
