0,power,power,power,power
1,42.2,42.4,62.86,61.23
2,41.41,42.4,63.52,60.99
3,41.54,42.27,62.99,61.1
4,41.88,42.43,63.78,61.12
5,41.81,42.17,63.38,61.12
6,42.01,41.9,63.12,61.27
7,41.54,42.17,62.6,61.38
8,42.2,42.27,64.04,61.38
9,42.2,42.3,63.65,61.38
10,42.33,41.9,62.99,61.51
11,42.59,42.56,62.86,61.53
12,42.46,42.07,63.12,61.53
13,42.86,41.37,63.78,61.4
14,40.49,41.4,64.04,61.4
15,40.83,41.64,62.6,61.53
16,41.81,41.24,59.42,61.53
17,42.59,40.84,62.6,61.27
18,42.33,42.07,62.6,61.4
19,42.86,41.54,63.52,61.36
20,42.59,42.5,63.52,61.67
21,42.59,43.03,62.6,61.66
22,42.2,42.89,65.53,61.9
23,41.62,43.32,63.78,61.66
24,41.94,42.79,62.73,62.07
25,42.53,42.93,63.65,61.94
26,42.2,42.63,62.73,61.94
27,42.59,42.63,63.52,61.95
28,43.12,41.97,66.88,61.94
29,42.59,41.83,63.43,61.94
30,39.65,41.83,62.73,61.82
31,43.12,41.73,62.6,61.54
32,43.12,41.87,62.86,61.95
33,42.86,41.73,63.12,61.95
34,42.59,41.6,63.12,62.21
35,43.12,41.44,62.86,62.08
36,43.12,41.73,63.25,62.21
37,42.59,41.34,63.12,62.21
38,42.65,41.6,63.91,62.08
39,42.59,41.07,63.65,62.23
40,42.07,41.07,62.73,62.08
41,42.46,41.2,64.04,62.08
42,42.2,41.34,63.91,62.21
43,42.46,41.5,62.86,62.08
44,41.62,41.76,63.12,62.34
45,43.12,42.16,62.99,61.95
46,42.33,42.16,62.6,62.08
47,42.46,42.56,64.04,62.23
48,45.94,42.16,62.73,62.36
49,42.07,41.76,64.17,62.23
50,41.41,42.19,64.3,62.21
51,41.67,42.86,64.56,62.23
52,42.99,42.99,64.04,40.38
53,42.2,42.59,64.43,40.25
54,42.59,43.69,60.77,40.38
55,42.07,43.02,64.3,40.38
56,41.94,43.12,64.82,40.38
57,41.94,42.99,63.91,40.38
58,41.54,42.62,65.53,40.25
59,42.33,0,64.35,40.38
60,41.41,0.52,64.35,40.38
61,42.46,0.26,64.61,40.38
62,42.2,0.39,65.35,40.38
63,42.72,0.52,64.87,40.38
64,41.81,0.52,64.74,40.51
65,41.28,0.39,64.48,40.51
66,41.75,0.39,65.53,40.38
67,41.48,0.26,65.66,40.38
68,41.54,0.52,65.13,40.38
69,41.54,0.39,64.35,40.38
70,41.81,0.39,66.18,40.38
71,41.81,0.39,63.65,40.38
72,41.67,0.39,64.35,40.38
73,41.81,0.39,65.66,40.38
74,41.94,0.39,65,40.51
75,42.2,0.52,65.4,40.38
