0,Shaded Setup,Ground Truth
1,12.28,13.69
2,13.18,13.82
3,13.81,13.82
4,12.79,14.07
5,14.06,13.82
6,12.54,13.82
7,13.93,13.42
8,12.67,13.95
9,13.81,13.95
10,12.54,14.08
11,13.17,13.94
12,12.92,13.82
13,13.81,13.69
14,12.93,13.82
15,13.05,13.68
16,13.55,13.56
17,13.55,13.43
18,13.05,13.29
19,12.67,13.81
20,13.17,13.69
21,13.69,13.3
22,13.44,13.29
23,13.81,13.69
24,12.79,13.42
25,13.44,13.43
26,13.05,13.81
27,13.55,13.42
28,13.43,13.82
29,12.54,13.82
30,13.05,13.68
31,12.03,13.98
32,13.17,14.11
33,11.9,14.64
34,13.05,16.21
35,13.17,17.27
36,13.68,19.38
37,12.67,21.5
38,12.54,23.33
39,13.3,27.04
40,13.17,31.56
41,11.9,37.43
42,12.92,46.3
43,12.41,60.29
44,12.54,72.11
45,13.17,73.75
46,11.9,73.54
47,12.41,75.07
48,12.16,75.99
49,12.54,76.99
50,12.28,76.64
51,13.43,76.43
52,13.3,76.75
53,13.3,76.35
54,12.28,76.54
55,12.54,76.68
56,12.54,76.41
57,13.05,76.73
58,12.54,76.65
59,13.44,77.12
60,12.79,76.98
61,13.55,76.85
62,12.03,76.77
63,13.05,76.85
64,12.54,76.63
65,11.78,76.55
66,12.03,76.55
67,13.05,76.42
68,12.41,76.34
69,12.92,76.34
70,13.43,76.61
71,11.65,76.8
72,13.43,76.45
73,12.92,76.39
74,13.17,76.59
75,12.92,76.59
76,12.28,76.51
77,13.43,76.51
78,13.55,76.43
79,13.43,76.51
80,11.9,76.43
81,12.54,76.16
82,12.67,76.43
83,12.16,75.88
84,12.03,76.29
85,12.41,75.8
86,12.54,75.26
87,12.67,75.12
88,11.78,75.67
89,12.16,79.19
90,13.05,75.99
91,12.16,76.6
92,13.3,76.46
93,12.67,76.73
94,12.28,76.6
95,12.16,76.52
96,11.9,76.65
97,11.78,76.65
98,12.54,76.57
99,12.54,76.52
100,12.28,76.57
101,13.05,76.52
102,12.78,76.84
103,12.67,77.04
104,11.4,76.71
105,12.15,76.76
106,12.92,76.49
107,11.27,76.35
108,12.79,76.49
109,11.78,76.35
110,11.65,75.86
111,13.05,76.22
112,12.92,76.41
113,12.28,76.55
114,12.92,76.41
115,11.78,76.14
116,12.67,76.27
117,11.29,73.98
118,12.06,73.29
119,13.84,73.29
120,15.12,73.29
121,16.14,75.81
122,18.93,73.56
123,20.09,73.43
124,23.93,73.43
125,26.24,73.43
126,31.36,73.43
127,38.24,73.15
128,49.35,72.88
129,67.18,72.88
130,70.37,73.34
131,69.01,72.74
132,69.66,72.88
133,68.93,73.02
134,68.16,73.07
135,69.5,72.61
136,68.86,78.47
137,66.66,72.88
138,69.56,73.02
139,69.09,72.33
140,68.71,72.25
141,69.09,72.47
142,69.87,72.33
143,71.92,71.65
144,68.11,71.24
145,69.28,71.32
146,68.16,71.18
147,70.03,70.22
148,68.09,68.81
149,68.55,68.81
150,66.53,68.21
151,65.7,66.7
152,63.63,65.65
153,62.59,63.33
154,60.08,61.33
155,58.14,58.25
156,55.38,56.57
157,53.14,53.23
158,51.2,51.7
159,48.45,49.18
160,46.47,46.57
161,42.99,46.98
162,42.18,42.42
163,40.24,41.17
